Tên sách,Tác giả,Nhà xuất bản,Năm xuất bản,Số trang,Mã ISBN,Ngôn ngữ,Tóm tắt,Thể loại,Chuyên ngành,Số bản sao
Tính toán phân tích hệ thống điện,Đỗ Xuân Khôi,Nhà xuất bản Khoa học và kỹ thuật,1998,220,,Tiếng Việt,Kiến thức nền tảng về điện-điện tử,,,10
Hỏi đáp về Điện - Điện tử dân dụng,KS. Bùi Văn Yên,Nhà xuất bản Hải Phòng,2002,271,,Tiếng Việt,Phương pháp phân tích và tính toán hệ thống điện,,,10
Hệ thống thủy lực,Lưu Văn Hy - Chung Thế Quang - Nguyễn Phước Hậu - Huỳnh Kim Ngân - Đỗ Tấn Dân,Nhà xuất bản Giao thông vận tải,2003,527,,Tiếng Việt,Giải đáp các vấn đề thường gặp trong điện dân dụng,,,10
Bảo dưỡng và thử nghiệm thiết bị trong hệ thống điện,Lê Văn Doanh - Phạm Văn Chới - Nguyễn Thế Công - Nguyễn Đình Thiên,Nhà xuẩt bản Khoa học và kỹ thuật,2001,354,,Tiếng Việt,"Nguyên lý, cấu tạo và ứng dụng hệ thống thủy lực",,,10
Hướng dẫn Thiết kế - Lắp đặt Mạng điện dân dụng,Nguyễn Trọng Thắng - Trần Thế San,Nhà xuất bản Khoa học và kỹ thuật,2009,203,,Tiếng Việt,"Hướng dẫn bảo dưỡng, thử nghiệm, đảm bảo an toàn thiết bị điện",,,10
Điện học cơ bản và mạch điện - mạch từ,Nguyễn Văn Tuệ,Nhà xuất bản Đại học Quốc Gia TPHCM,2003,278,,Tiếng Việt,Thiết kế và lắp đặt hệ thống điện dân dụng,,,10
,,,,,,Tiếng Việt,Lý thuyết điện học và ứng dụng trong mạch điện,,,10
